,loss,accuracy,val_loss,val_accuracy
0,0.6411389708518982,0.6427061557769775,0.5904768109321594,0.7090012431144714
1,0.5699508786201477,0.7122092843055725,0.5595483183860779,0.715166449546814
2,0.5516077876091003,0.7169661521911621,0.551571786403656,0.7247225642204285
3,0.5453770756721497,0.7209302186965942,0.5497763752937317,0.72348952293396
4,0.5422458648681641,0.7233086824417114,0.5487228631973267,0.7225647568702698
5,0.540988564491272,0.7238371968269348,0.5488200187683105,0.72348952293396
6,0.5404017567634583,0.7258192300796509,0.5484161376953125,0.7228729724884033
7,0.5402410626411438,0.7252907156944275,0.5493069887161255,0.7256473302841187
8,0.539437472820282,0.7255549430847168,0.5494474172592163,0.7256473302841187
9,0.5393004417419434,0.7248942852020264,0.5489476919174194,0.7219482064247131
10,0.5391413569450378,0.7256870865821838,0.5491555333137512,0.72348952293396
11,0.5389285087585449,0.7271406054496765,0.549029529094696,0.7207151651382446
12,0.5390110015869141,0.7266120314598083,0.5493094325065613,0.7219482064247131
13,0.5387333035469055,0.7259513735771179,0.5491458773612976,0.7219482064247131
14,0.5384560227394104,0.7291226387023926,0.5490367412567139,0.7216399312019348
15,0.5383603572845459,0.726083517074585,0.5492088794708252,0.7216399312019348
16,0.538053035736084,0.7274048328399658,0.5494256019592285,0.7222564816474915
17,0.538140058517456,0.7258192300796509,0.5494035482406616,0.7237977981567383
18,0.5378022193908691,0.7283298373222351,0.5496106147766113,0.7241060137748718
19,0.5375228524208069,0.728065550327301,0.5492314696311951,0.7197903990745544
20,0.537510871887207,0.7278012633323669,0.549351155757904,0.7219482064247131
21,0.537613570690155,0.7276691198348999,0.5501647591590881,0.7244142889976501
22,0.5372791290283203,0.7281976938247681,0.5493659377098083,0.7197903990745544
23,0.5367614030838013,0.7287262082099915,0.5505423545837402,0.7250308394432068
24,0.5372481346130371,0.7278012633323669,0.550362229347229,0.7265721559524536
25,0.5370301008224487,0.7276691198348999,0.5490706562995911,0.7237977981567383
26,0.5366690754890442,0.7295190095901489,0.5486869812011719,0.7225647568702698
27,0.5365838408470154,0.72991544008255,0.5488699674606323,0.721023440361023
28,0.5365792512893677,0.7285940647125244,0.548882782459259,0.721023440361023
29,0.5363921523094177,0.7307082414627075,0.548712432384491,0.7250308394432068
30,0.5363054275512695,0.7304439544677734,0.548671305179596,0.7219482064247131
31,0.5360568761825562,0.729783296585083,0.54863440990448,0.7222564816474915
32,0.5357537269592285,0.7293868660926819,0.548409104347229,0.7219482064247131
33,0.535566508769989,0.7305760979652405,0.5486356616020203,0.7247225642204285
34,0.5353338122367859,0.7291226387023926,0.5487869381904602,0.7253391146659851
35,0.5352053046226501,0.729651153087616,0.5488387942314148,0.7237977981567383
36,0.5350410342216492,0.7330867052078247,0.5487098097801208,0.7241060137748718
37,0.5351690053939819,0.7307082414627075,0.5484843850135803,0.72348952293396
38,0.5349770188331604,0.7301797270774841,0.5487678050994873,0.7237977981567383
39,0.5347897410392761,0.7285940647125244,0.5488246083259583,0.7250308394432068
40,0.5344434976577759,0.7292547821998596,0.5487154126167297,0.7253391146659851
41,0.5345046520233154,0.7293868660926819,0.548346221446991,0.7250308394432068
42,0.5342063307762146,0.72991544008255,0.548360288143158,0.7237977981567383
43,0.5341327786445618,0.7300475835800171,0.548529863357544,0.7231812477111816
